input_str,answer
343 + 558,901
327 + 678,1005
726 + 931,1657
523 + 484,1007
396 + 835,1231
673 + 346,1019
357 + 775,1132
492 + 113,605
735 + 398,1133
266 + 300,566
726 + 970,1696
248 + 636,884
545 + 321,866
644 + 569,1213
582 + 416,998
502 + 144,646
845 + 351,1196
725 + 145,870
286 + 203,489
576 + 594,1170
151 + 565,716
302 + 775,1077
918 + 362,1280
407 + 472,879
512 + 532,1044
249 + 378,627
258 + 786,1044
729 + 690,1419
758 + 331,1089
688 + 145,833
875 + 344,1219
493 + 725,1218
119 + 534,653
525 + 664,1189
287 + 932,1219
667 + 700,1367
949 + 682,1631
251 + 497,748
237 + 578,815
815 + 910,1725
688 + 606,1294
894 + 319,1213
604 + 793,1397
109 + 951,1060
554 + 887,1441
587 + 782,1369
611 + 912,1523
839 + 886,1725
401 + 978,1379
879 + 984,1863
969 + 218,1187
639 + 371,1010
599 + 946,1545
429 + 492,921
422 + 917,1339
768 + 541,1309
705 + 608,1313
916 + 261,1177
233 + 912,1145
579 + 486,1065
926 + 313,1239
962 + 635,1597
622 + 627,1249
840 + 631,1471
176 + 390,566
117 + 699,816
608 + 989,1597
848 + 943,1791
124 + 649,773
297 + 104,401
168 + 159,327
277 + 533,810
657 + 682,1339
873 + 499,1372
577 + 664,1241
481 + 553,1034
136 + 710,846
241 + 868,1109
739 + 791,1530
290 + 839,1129
552 + 614,1166
366 + 647,1013
379 + 678,1057
103 + 222,325
948 + 308,1256
792 + 259,1051
485 + 765,1250
904 + 119,1023
195 + 285,480
155 + 399,554
609 + 288,897
246 + 759,1005
724 + 803,1527
144 + 857,1001
390 + 102,492
993 + 346,1339
503 + 418,921
678 + 461,1139
238 + 356,594
543 + 120,663
282 + 452,734
236 + 758,994
587 + 520,1107
332 + 945,1277
699 + 217,916
938 + 730,1668
304 + 964,1268
231 + 493,724
835 + 570,1405
350 + 142,492
759 + 688,1447
215 + 982,1197
743 + 109,852
775 + 889,1664
686 + 502,1188
983 + 785,1768
952 + 361,1313
618 + 583,1201
503 + 128,631
400 + 509,909
359 + 349,708
685 + 962,1647
854 + 313,1167
687 + 336,1023
144 + 334,478
805 + 824,1629
647 + 292,939
830 + 863,1693
131 + 559,690
364 + 926,1290
263 + 221,484
255 + 835,1090
560 + 844,1404
103 + 429,532
632 + 600,1232
366 + 548,914
414 + 179,593
350 + 943,1293
763 + 502,1265
331 + 521,852
783 + 505,1288
392 + 879,1271
747 + 235,982
153 + 550,703
546 + 834,1380
259 + 857,1116
972 + 423,1395
678 + 827,1505
828 + 880,1708
375 + 486,861
827 + 710,1537
104 + 649,753
434 + 846,1280
475 + 378,853
853 + 423,1276
122 + 844,966
872 + 926,1798
362 + 695,1057
696 + 626,1322
119 + 772,891
235 + 654,889
959 + 194,1153
370 + 373,743
344 + 429,773
970 + 112,1082
745 + 412,1157
380 + 434,814
887 + 411,1298
452 + 293,745
523 + 604,1127
225 + 918,1143
797 + 538,1335
354 + 163,517
235 + 484,719
246 + 892,1138
397 + 642,1039
704 + 296,1000
537 + 335,872
806 + 243,1049
741 + 427,1168
8917 + 7007,15924
9992 + 1778,11770
4578 + 8286,12864
3980 + 1981,5961
8666 + 7109,15775
6287 + 8176,14463
7241 + 7631,14872
8828 + 9804,18632
5947 + 8325,14272
7828 + 1369,9197
9974 + 3419,13393
3485 + 3253,6738
4939 + 8638,13577
1716 + 6200,7916
6606 + 4214,10820
3772 + 1128,4900
7764 + 3932,11696
5220 + 3094,8314
1020 + 7533,8553
9643 + 1131,10774
40614 + 20471,61085
81694 + 99562,181256
50350 + 83106,133456
71544 + 81090,152634
92355 + 17519,109874
57577 + 73356,130933
43830 + 52929,96759
37558 + 14131,51689
40371 + 32855,73226
83713 + 81711,165424
95934 + 87509,183443
76134 + 66862,142996
30990 + 98419,129409
30199 + 93226,123425
60720 + 11056,71776
39132 + 99148,138280
66024 + 81590,147614
50193 + 22200,72393
23262 + 89286,112548
77364 + 21480,98844
58533 + 48480,107013
15508 + 63705,79213
14813 + 38006,52819
81392 + 52213,133605
11262 + 66203,77465
73515 + 32395,105910
79013 + 39162,118175
81825 + 22634,104459
32463 + 65527,97990
54421 + 67344,121765
60628 + 37535,98163
83507 + 27711,111218
15582 + 27535,43117
12136 + 20215,32351
67499 + 52470,119969
65642 + 31478,97120
42942 + 22550,65492
43763 + 64723,108486
67341 + 28102,95443
57528 + 19190,76718
48225 + 78483,126708
76362 + 29689,106051
78599 + 59561,138160
39763 + 32585,72348
25927 + 84157,110084
97885 + 89124,187009
98734 + 19666,118400
39621 + 40163,79784
42728 + 78247,120975
36299 + 10210,46509
93507 + 60134,153641
40973 + 83227,124200
91313 + 21414,112727
67285 + 58165,125450
63075 + 48749,111824
35488 + 71768,107256
86225 + 22271,108496
73753 + 10895,84648
15548 + 53070,68618
82038 + 50826,132864
92626 + 15407,108033
42925 + 51567,94492
38674 + 69521,108195
57778 + 31754,89532
61056 + 88565,149621
48157 + 57079,105236
35649 + 12361,48010
58444 + 89327,147771
34895 + 45146,80041
54637 + 22796,77433
38293 + 50767,89060
62423 + 55935,118358
64217 + 35240,99457
59804 + 16015,75819
12969 + 59885,72854
17117 + 10001,27118
31496 + 84795,116291
83518 + 54284,137802
71016 + 24543,95559
43053 + 40990,84043
33121 + 12858,45979
90458 + 35228,125686
45107 + 67896,113003
29610 + 31872,61482
14409 + 33543,47952
38195 + 66985,105180
71709 + 20403,92112
42015 + 94144,136159
23460 + 34605,58065
64779 + 15346,80125
73230 + 81626,154856
72404 + 81514,153918
56275 + 78608,134883
94452 + 58145,152597
42048 + 98889,140937
66571 + 32491,99062
22580 + 18648,41228
39854 + 34134,73988
59420 + 16752,76172
73099 + 76026,149125
88142 + 59082,147224
89183 + 76710,165893
89936 + 55424,145360
44402 + 23930,68332
45804 + 44996,90800
77765 + 85996,163761
32365 + 44455,76820
99649 + 11504,111153
16801 + 43586,60387
82472 + 37251,119723
73536 + 59163,132699
17364 + 58522,75886
85359 + 58858,144217
17049 + 62693,79742
42445 + 93055,135500
88092 + 66967,155059
56596 + 40742,97338
77521 + 10889,88410
70742 + 33006,103748
35440 + 15037,50477
73498 + 92295,165793
84931 + 84260,169191
90624 + 80103,170727
33865 + 36570,70435
74626 + 83353,157979
47886 + 90545,138431
31179 + 86919,118098
46596 + 88335,134931
34748 + 87429,122177
88077 + 63640,151717
13871 + 75972,89843
49950 + 83691,133641
96054 + 89885,185939
82160 + 97992,180152
81598 + 96031,177629
22513 + 60798,83311
40772 + 19616,60388
81513 + 93537,175050
41228 + 50324,91552
14050 + 69174,83224
15395 + 94528,109923
60633 + 79226,139859
38002 + 26776,64778
83901 + 20268,104169
81185 + 71370,152555
77241 + 57417,134658
81035 + 27390,108425
70592 + 97142,167734
24822 + 40295,65117
69998 + 12804,82802
92848 + 90402,183250
10039 + 11274,21313
37880 + 89357,127237
11763 + 99131,110894
78061 + 35410,113471
19418 + 78502,97920
83036 + 34236,117272
51794 + 15685,67479
40954 + 60065,101019
43674 + 14448,58122
58748 + 44339,103087
37470 + 26930,64400
56261 + 53190,109451
27207 + 30092,57299
73524 + 16399,89923
19396 + 11456,30852
10274 + 66833,77107
35412 + 34766,70178
75402 + 30168,105570
37886 + 22022,59908
30806 + 92309,123115
84363 + 24035,108398
43775 + 22357,66132
86185 + 76929,163114
23879 + 88436,112315
52908 + 89000,141908
33286 + 24377,57663
47659 + 33932,81591
