input_str,answer
343 + 558,901
327 + 678,1005
726 + 931,1657
523 + 484,1007
396 + 835,1231
673 + 346,1019
357 + 775,1132
492 + 113,605
735 + 398,1133
266 + 300,566
726 + 970,1696
248 + 636,884
545 + 321,866
644 + 569,1213
582 + 416,998
502 + 144,646
845 + 351,1196
725 + 145,870
286 + 203,489
576 + 594,1170
151 + 565,716
302 + 775,1077
918 + 362,1280
407 + 472,879
512 + 532,1044
249 + 378,627
258 + 786,1044
729 + 690,1419
758 + 331,1089
688 + 145,833
875 + 344,1219
493 + 725,1218
119 + 534,653
525 + 664,1189
287 + 932,1219
667 + 700,1367
949 + 682,1631
251 + 497,748
237 + 578,815
815 + 910,1725
688 + 606,1294
894 + 319,1213
604 + 793,1397
109 + 951,1060
554 + 887,1441
587 + 782,1369
611 + 912,1523
839 + 886,1725
401 + 978,1379
879 + 984,1863
969 + 218,1187
639 + 371,1010
599 + 946,1545
429 + 492,921
422 + 917,1339
768 + 541,1309
705 + 608,1313
916 + 261,1177
233 + 912,1145
579 + 486,1065
926 + 313,1239
962 + 635,1597
622 + 627,1249
840 + 631,1471
176 + 390,566
117 + 699,816
608 + 989,1597
848 + 943,1791
124 + 649,773
297 + 104,401
168 + 159,327
277 + 533,810
657 + 682,1339
873 + 499,1372
577 + 664,1241
481 + 553,1034
136 + 710,846
241 + 868,1109
739 + 791,1530
290 + 839,1129
552 + 614,1166
366 + 647,1013
379 + 678,1057
103 + 222,325
948 + 308,1256
792 + 259,1051
485 + 765,1250
904 + 119,1023
195 + 285,480
155 + 399,554
609 + 288,897
246 + 759,1005
724 + 803,1527
144 + 857,1001
390 + 102,492
993 + 346,1339
503 + 418,921
678 + 461,1139
238 + 356,594
543 + 120,663
40614 + 20471,61085
81694 + 99562,181256
50350 + 83106,133456
71544 + 81090,152634
92355 + 17519,109874
57577 + 73356,130933
43830 + 52929,96759
37558 + 14131,51689
40371 + 32855,73226
83713 + 81711,165424
95934 + 87509,183443
76134 + 66862,142996
30990 + 98419,129409
30199 + 93226,123425
60720 + 11056,71776
39132 + 99148,138280
66024 + 81590,147614
50193 + 22200,72393
23262 + 89286,112548
77364 + 21480,98844
58533 + 48480,107013
15508 + 63705,79213
14813 + 38006,52819
81392 + 52213,133605
11262 + 66203,77465
73515 + 32395,105910
79013 + 39162,118175
81825 + 22634,104459
32463 + 65527,97990
54421 + 67344,121765
60628 + 37535,98163
83507 + 27711,111218
15582 + 27535,43117
12136 + 20215,32351
67499 + 52470,119969
65642 + 31478,97120
42942 + 22550,65492
43763 + 64723,108486
67341 + 28102,95443
57528 + 19190,76718
48225 + 78483,126708
76362 + 29689,106051
78599 + 59561,138160
39763 + 32585,72348
25927 + 84157,110084
97885 + 89124,187009
98734 + 19666,118400
39621 + 40163,79784
42728 + 78247,120975
36299 + 10210,46509
93507 + 60134,153641
40973 + 83227,124200
91313 + 21414,112727
67285 + 58165,125450
63075 + 48749,111824
35488 + 71768,107256
86225 + 22271,108496
73753 + 10895,84648
15548 + 53070,68618
82038 + 50826,132864
92626 + 15407,108033
42925 + 51567,94492
38674 + 69521,108195
57778 + 31754,89532
61056 + 88565,149621
48157 + 57079,105236
35649 + 12361,48010
58444 + 89327,147771
34895 + 45146,80041
54637 + 22796,77433
38293 + 50767,89060
62423 + 55935,118358
64217 + 35240,99457
59804 + 16015,75819
12969 + 59885,72854
17117 + 10001,27118
31496 + 84795,116291
83518 + 54284,137802
71016 + 24543,95559
43053 + 40990,84043
33121 + 12858,45979
90458 + 35228,125686
45107 + 67896,113003
29610 + 31872,61482
14409 + 33543,47952
38195 + 66985,105180
71709 + 20403,92112
42015 + 94144,136159
23460 + 34605,58065
64779 + 15346,80125
73230 + 81626,154856
72404 + 81514,153918
56275 + 78608,134883
94452 + 58145,152597
42048 + 98889,140937
66571 + 32491,99062
22580 + 18648,41228
39854 + 34134,73988
59420 + 16752,76172
73099 + 76026,149125
9274360 + 8995424,18269784
3819170 + 4228401,8047571
4628323 + 4740058,9368381
3417810 + 2616269,6034079
9591277 + 9640911,19232188
4846908 + 6261014,11107922
5893781 + 1104297,6998078
3600251 + 9056409,12656660
5832285 + 9893116,15725401
2962095 + 1307276,4269371
3163524 + 5592129,8755653
3128738 + 8495807,11624545
7855608 + 4664171,12519779
4359898 + 9336948,13696846
5968032 + 2538793,8506825
8701427 + 8585833,17287260
7280761 + 6836117,14116878
4788413 + 9196424,13984837
4955939 + 3145365,8101304
5925128 + 2608116,8533244
3276396 + 4990317,8266713
9675302 + 5498050,15173352
9857904 + 1354057,11211961
4634924 + 4692227,9327151
1156966 + 2386810,3543776
6930313 + 9341603,16271916
4714819 + 9569008,14283827
5302551 + 9741503,15044054
3853012 + 8990206,12843218
5056575 + 6802547,11859122
4809733 + 5816041,10625774
9228913 + 6275809,15504722
4808852 + 2568171,7377023
7890018 + 9428252,17318270
4012403 + 9217401,13229804
6377934 + 7781611,14159545
8693256 + 9515215,18208471
8385153 + 1548876,9934029
1909556 + 8303050,10212606
1668206 + 7785601,9453807
5524507 + 2621275,8145782
3980792 + 7639265,11620057
2320898 + 4687413,7008311
4459244 + 2150254,6609498
7312467 + 4870469,12182936
3414173 + 8735552,12149725
5600480 + 6097441,11697921
2624714 + 2387781,5012495
4738386 + 8694603,13432989
6861662 + 6878811,13740473
1133786 + 1329948,2463734
5670568 + 4187804,9858372
1502851 + 7670910,9173761
5842462 + 3562036,9404498
8215697 + 4280668,12496365
7849595 + 2140221,9989816
5338952 + 5277278,10616230
1793218 + 2890723,4683941
4960454 + 3153724,8114178
7227797 + 7882513,15110310
4927926 + 9846502,14774428
3487287 + 1697184,5184471
2925867 + 1227043,4152910
1671619 + 9000956,10672575
7372789 + 1493408,8866197
1018051 + 8626156,9644207
1613611 + 4176836,5790447
7738871 + 3077033,10815904
7926487 + 1590203,9516690
8738964 + 8197130,16936094
6615955 + 6182901,12798856
5595916 + 1455807,7051723
8028568 + 5593922,13622490
1837717 + 2324745,4162462
3985367 + 1120817,5106184
1709085 + 7255777,8964862
9031972 + 8996581,18028553
7121844 + 2612516,9734360
5038371 + 5272222,10310593
6574160 + 7801639,14375799
5063299 + 1263286,6326585
8622582 + 2616947,11239529
6164649 + 5454687,11619336
8762500 + 1148431,9910931
2923143 + 4963056,7886199
7652842 + 8662868,16315710
5661063 + 7811892,13472955
8937605 + 7871923,16809528
2653734 + 3151093,5804827
1494223 + 2719346,4213569
8560009 + 3210221,11770230
9427323 + 4863271,14290594
3077450 + 6332711,9410161
5088424 + 2883861,7972285
6254333 + 6761397,13015730
5150579 + 9931240,15081819
3574927 + 9625576,13200503
7551319 + 3611881,11163200
4446288 + 8544311,12990599
8763697 + 4643797,13407494
821079257 + 150860539,971939796
337679298 + 617929586,955608884
730264053 + 893442257,1623706310
246509795 + 859056069,1105565864
942013751 + 104531409,1046545160
239420069 + 714515310,953935379
982264531 + 194053334,1176317865
493663373 + 972804080,1466467453
412800560 + 379770472,792571032
215490901 + 417770271,633261172
190684562 + 355272046,545956608
585067441 + 845578566,1430646007
506323950 + 377379298,883703248
351109596 + 474027499,825137095
195354495 + 375726525,571081020
363707162 + 907959869,1271667031
322486245 + 206350540,528836785
583457834 + 435279734,1018737568
402641421 + 870496762,1273138183
791830489 + 673717850,1465548339
611829124 + 151327685,763156809
141226690 + 885249872,1026476562
551535489 + 265684336,817219825
708841282 + 116756834,825598116
896532583 + 738154002,1634686585
