input_str,answer
308 + 830,095
214 + 738,117
403 + 554,073
695 + 986,720
641 + 407,396
802 + 382,802
318 + 796,501
277 + 475,637
857 + 436,585
991 + 878,024
422 + 528,652
720 + 903,175
894 + 489,597
112 + 701,368
754 + 514,659
926 + 333,045
963 + 442,360
940 + 492,084
659 + 866,463
683 + 638,514
666 + 557,738
943 + 272,492
473 + 140,090
208 + 970,519
880 + 213,019
362 + 157,086
345 + 240,360
337 + 408,007
366 + 806,592
596 + 221,615
157 + 956,343
329 + 269,654
650 + 185,378
394 + 984,144
484 + 170,650
658 + 549,845
564 + 913,841
132 + 799,136
780 + 220,756
226 + 666,528
582 + 368,955
948 + 406,709
932 + 461,097
212 + 472,966
373 + 374,065
523 + 714,802
678 + 639,248
704 + 583,600
803 + 457,048
699 + 567,950
376 + 467,561
935 + 444,731
681 + 722,089
873 + 404,718
750 + 840,051
983 + 583,680
388 + 725,176
923 + 542,519
792 + 123,241
944 + 974,966
497 + 266,759
475 + 649,955
757 + 923,045
455 + 294,848
478 + 922,135
259 + 924,735
680 + 708,776
950 + 963,592
898 + 215,934
821 + 655,210
971 + 625,960
640 + 665,654
781 + 278,070
211 + 918,624
528 + 574,338
992 + 287,373
233 + 438,285
811 + 285,231
359 + 775,146
795 + 494,024
473 + 476,207
859 + 277,204
822 + 686,352
671 + 633,109
797 + 818,065
739 + 317,272
158 + 133,635
633 + 935,798
562 + 276,592
392 + 639,326
539 + 291,831
245 + 261,200
319 + 174,082
438 + 329,697
666 + 717,016
376 + 790,518
915 + 378,797
227 + 585,351
572 + 359,234
380 + 607,420
9016 + 8342,5874
1642 + 8539,1445
2486 + 9382,5935
1999 + 9726,9952
1331 + 6340,4318
9376 + 2524,3179
2983 + 2488,1859
4689 + 5664,2223
8880 + 4363,8152
2845 + 8413,7986
6229 + 5360,2285
1127 + 1965,2394
3703 + 1303,1824
9689 + 9390,3211
2526 + 4063,4222
4804 + 5471,1515
8499 + 7858,7496
