input_str,answer
221,3
634,3
134,3
393,3
092,3
178,3
381,3
556,3
951,3
713,3
131,3
061,3
718,3
020,3
796,3
037,3
338,3
229,3
029,3
333,3
295,3
723,3
427,3
207,3
266,3
492,3
200,3
324,3
971,3
252,3
264,3
389,3
083,3
210,3
655,3
241,3
737,3
498,3
774,3
148,3
571,3
953,3
783,3
915,3
565,3
931,3
664,3
629,3
255,3
404,3
561,3
751,3
349,3
459,3
875,3
110,3
653,3
812,3
024,3
731,3
392,3
534,3
940,3
891,3
533,3
942,3
636,3
388,3
738,3
765,3
077,3
958,3
422,3
601,3
137,3
504,3
961,3
274,3
967,3
829,3
453,3
925,3
911,3
487,3
067,3
677,3
097,3
145,3
823,3
933,3
247,3
015,3
194,3
670,3
302,3
537,3
346,3
550,3
520,3
263,3
35554556212917147568795,23
29358511101372128024564,23
35340173666766894952326,23
20241649645189083534009,23
98083151084982677609550,23
10140820496201360886719,23
30354358354522132022498,23
03345398281912364658465,23
50637561913248870172697,23
60386211074538247756760,23
25041220700885689349041,23
56305339248525513195538,23
75352528557408096265583,23
76952975195765285866719,23
69323188888847996808928,23
94736045915595348526249,23
71984202018174005375493,23
57535218504406607369959,23
69172027563559426946419,23
18949327801909835638186,23
54517538608756778137846,23
75448523209118787581871,23
68919310357855787247141,23
69169517804607720708830,23
89204253279658061094293,23
34699794292931205446452,23
97047724588642606512978,23
47800003217730393508931,23
15127200996216867635797,23
76518228304170651072668,23
02850755580272309773811,23
18482856664451518293296,23
90600504766939028231540,23
68052749889930603191392,23
18554937518367328785991,23
15621307298114131414672,23
61134885974389442179983,23
44499953822313572657419,23
57667431876813649752100,23
29663258918450674157803,23
73471495508459910266631,23
88611798744612362909869,23
37879596808538916684009,23
90953907300510923856354,23
22930648609745797159757,23
47615752166377302138375,23
49714406397748012102457,23
24360314312413313213810,23
98266676983276219472947,23
32707958081186101359037,23
54136858795540719515609,23
31932645758854778953653,23
96339574397951987207189,23
60053675285212768743487,23
59646588863599260400153,23
40539146255981399579217,23
17862225356690296163137,23
56671272067042247936900,23
31635134998866085653026,23
68444629282494724456847,23
98728382142703669003108,23
14314796192998062310745,23
59753229510820444257660,23
77388793706050281385937,23
17889098513490710197539,23
90930794334205957160353,23
27756243554855533435134,23
72580713434530220209354,23
09191683056734299567763,23
99862132354872992940706,23
33032100824728687883719,23
44449346208383831720396,23
34786132666472550765746,23
24528521977669826094986,23
52547750146916528229121,23
45850756012108156565446,23
42971953194015024302540,23
67129106425286210141810,23
96736278519646868664882,23
85048891392804018937153,23
54362155471479811849297,23
96983075157119936037572,23
79619554207972232220532,23
86707529612782172055505,23
52195886328003936055287,23
78183780171120116806653,23
75980289589544460262568,23
20947608333628172667107,23
02459511496072982501129,23
03747271081865911353263,23
95927376755142756866948,23
82250109223804006243197,23
09372818897705715604542,23
14095257831865559572562,23
46199845397122218083768,23
63239973966990198820698,23
43062950541592244480332,23
78473430065898504708528,23
20246257139290911630765,23
47781668445403426425999,23
6663886877614599417442045442960415879175865,43
9357707667616476741122309339676877005849969,43
9730087573989249034137129691901895151721024,43
0314086150378065798249447514359345426548751,43
5123408008145126012001853923610609801570003,43
3107080741370068377939303689006804621773357,43
0449886718520122192432517182665152105603815,43
8238427940530287958757262679613436129332048,43
0716284284149328186606140257988418978554859,43
1697967325686435820452950814850600454160151,43
3266892086202185512274185844969134808341767,43
0900169604953855985830749802471178690097445,43
1226428450264814696247550861723692660761836,43
5653620722100307384893593037323765861628866,43
2923810518585975249569880401372508729466589,43
5298379549997723817455739789098445277569981,43
1565336832790428146034683914688528736438619,43
5881245929267903372202929811143178363675653,43
6192314943718796008135341836497985309665611,43
5547064944671429918235233947354529337273903,43
3110928497785110616257245221171442539025293,43
1129616614796884111335502041628454809950121,43
6963821966468760836022509687191186122028772,43
2781935237011436988865276962312745930201673,43
3417908006761407831416769141760302781005070,43
5745401708305086658647101819759887633473283,43
7687757183589107482950324963736597602167885,43
1255696207984359492739795114536776855832928,43
0477585668437486128410517095369033621898250,43
5097330512835154964074520176005106411451228,43
1013294309160171523404623002688905590587025,43
9812013825825543241566726059055967447347298,43
6525139626218044910443390822684157783563378,43
0826008003043814941273049497445853971820966,43
9533710874535415504377303918127307162077005,43
8215213817501167543942263713825157948149654,43
3299883063175408307770456681659637070147035,43
3986506934269942771765648986045021842842653,43
3733047113045307698172689599115088730189285,43
4781105673057040754486614689179583861205085,43
9111162651015872824001358070060431432832133,43
6677851966192886556574662102285516381101671,43
0131981013615455225294664969236041614175035,43
5098971857046962566442467204697410770777913,43
8094859499260502015882393939156978263748027,43
3328923165837929754775976707701164116195728,43
8260700100375190562536064240721483646129492,43
3171968588118416223034805392661197382282481,43
3486745643749176443235114771929858804589179,43
8125458859720561487848384304362908744965648,43
5042726677627601629280193334370896742786129,43
9649590836084588553662680898221657062789641,43
7913980784996544582017886399226142401097075,43
5132748562811779892300590096483443738924707,43
2133476064526350034604559125564162034604937,43
3345372850740888770832361002040927695482855,43
3190264857068877206964435673443763270476033,43
6591946253993708792385887154946322189413244,43
5310086220397901865762972107043593296762714,43
3374808361018076689003174263336760168319489,43
4016122632416674512525659372637939149799782,43
5197296174857884640648579041814216940018895,43
0336524708225409568973635019165187055716705,43
0794459906162063545807968531075204040553372,43
5501103580243355362872137479741698614545395,43
6778141696967826678442413517903113018206644,43
2151650033645054582346213330678191170103287,43
0595854578971749336469396272707657480170511,43
7997313084920587188666254198037084911693602,43
7739801786385612225748776362724925037710291,43
