input_str,answer
221,3
634,3
134,3
393,3
092,3
178,3
381,3
556,3
951,3
713,3
131,3
061,3
718,3
020,3
796,3
037,3
338,3
229,3
029,3
333,3
295,3
723,3
427,3
207,3
266,3
492,3
200,3
324,3
971,3
252,3
264,3
389,3
083,3
210,3
655,3
241,3
737,3
498,3
774,3
148,3
571,3
953,3
783,3
915,3
565,3
931,3
664,3
629,3
255,3
404,3
561,3
751,3
349,3
459,3
875,3
110,3
653,3
812,3
024,3
731,3
392,3
534,3
940,3
891,3
533,3
942,3
636,3
388,3
738,3
765,3
077,3
958,3
422,3
601,3
137,3
504,3
961,3
274,3
967,3
829,3
453,3
925,3
911,3
487,3
067,3
677,3
097,3
145,3
823,3
933,3
247,3
015,3
194,3
670,3
302,3
537,3
346,3
550,3
520,3
263,3
37973,5
96956,5
29503,5
56696,5
91277,5
99292,5
80661,5
92499,5
67944,5
60095,5
39230,5
42499,5
82804,5
92020,5
25846,5
72632,5
79021,5
65987,5
61974,5
47818,5
40823,5
53050,5
45818,5
64341,5
27090,5
40724,5
51607,5
70253,5
36021,5
37733,5
34134,5
82286,5
53215,5
50550,5
65188,5
21182,5
90381,5
17890,5
91651,5
16085,5
95547,5
12540,5
58370,5
10580,5
78409,5
69553,5
90565,5
61385,5
90374,5
95049,5
04042,5
58159,5
70243,5
32549,5
59034,5
67045,5
25774,5
87253,5
88479,5
78985,5
91510,5
43659,5
94537,5
62382,5
32547,5
15751,5
04240,5
31087,5
64983,5
70156,5
37808,5
79292,5
21222,5
21316,5
93572,5
33693,5
48220,5
19774,5
91285,5
58179,5
50478,5
86922,5
16991,5
82854,5
59464,5
34068,5
63112,5
81615,5
54988,5
74447,5
00150,5
37743,5
47175,5
48880,5
83285,5
92851,5
57340,5
78583,5
08783,5
85025,5
9590605,7
9046339,7
6023843,7
2536115,7
0022893,7
7275708,7
0017336,7
0651153,7
7547862,7
5432259,7
1869349,7
0174658,7
9180729,7
2306088,7
5934197,7
1923086,7
8361540,7
7001539,7
8029515,7
8030481,7
2098587,7
3538529,7
6368212,7
0966019,7
8032484,7
1243982,7
0948193,7
2106106,7
1581139,7
4561916,7
2924158,7
7640391,7
7409187,7
5177387,7
4999755,7
6902103,7
9696881,7
2404127,7
2672763,7
7100079,7
6659376,7
7636056,7
0071690,7
4750175,7
9691092,7
4611194,7
4424303,7
2486860,7
2236531,7
6701881,7
2104293,7
9280724,7
6210893,7
0378213,7
7075194,7
6992038,7
0857297,7
4304477,7
3449961,7
6612740,7
7073829,7
3351104,7
4699974,7
6631769,7
6145683,7
2898684,7
1300251,7
0000717,7
4776662,7
8832101,7
2314399,7
3684468,7
6636117,7
6087741,7
9642021,7
4016858,7
8937772,7
2482093,7
7896413,7
8203228,7
6350668,7
7681700,7
4346983,7
9820995,7
2509040,7
4861709,7
6491277,7
3195897,7
9142064,7
1298458,7
6445287,7
3083859,7
6493276,7
8848071,7
5102508,7
6837200,7
9366918,7
9861208,7
9407990,7
7782265,7
258224247,9
349354040,9
676974553,9
583731265,9
749770157,9
836316980,9
788185016,9
517220951,9
036072085,9
414255813,9
565939859,9
762416905,9
899211346,9
389339079,9
510443438,9
798447692,9
456501790,9
029865089,9
468877930,9
714158160,9
787228828,9
596155134,9
066648707,9
166599044,9
796799916,9
446546500,9
938050838,9
373374288,9
446111043,9
862449775,9
325964290,9
437421002,9
498541350,9
473351095,9
219437240,9
509914786,9
612996855,9
341180550,9
468088642,9
248168741,9
573555574,9
466282423,9
062868695,9
841024046,9
461430351,9
622922085,9
939732423,9
401592331,9
879749578,9
417675687,9
788251595,9
085195077,9
751337644,9
209961266,9
518922760,9
548781686,9
871970600,9
885590018,9
133147345,9
388407438,9
622361676,9
665955748,9
040266106,9
640535627,9
572945059,9
682595879,9
955909105,9
424405401,9
291882739,9
224448414,9
672159403,9
663104071,9
576281237,9
350533297,9
228257613,9
334013385,9
934807865,9
566178863,9
884204268,9
916757737,9
679746988,9
661434419,9
667412377,9
204330544,9
515099656,9
980925931,9
749892885,9
082656825,9
725271725,9
194643625,9
973399464,9
353910106,9
229041859,9
003269276,9
491822533,9
658379273,9
638778917,9
472831271,9
140461028,9
532062474,9
21321256861,11
01140044261,11
45543585699,11
50958523418,11
87531646981,11
09794584819,11
21941013710,11
41696027796,11
87570340376,11
30856312960,11
36714825323,11
07992153395,11
54554222487,11
73405157980,11
54654910204,11
66470587444,11
39431009610,11
59806007350,11
86713242936,11
71680742329,11
42294873109,11
34226100145,11
06173890247,11
20172781244,11
26664685888,11
84409425401,11
39393153151,11
77418486660,11
28622409827,11
42164506961,11
92588248095,11
98895471577,11
35940916782,11
40774122335,11
37878434062,11
46627557068,11
92690414219,11
51770607680,11
72561253012,11
06930661101,11
40245512421,11
34337550302,11
96619727933,11
66522933897,11
34651404751,11
66073971262,11
95461216341,11
75867227196,11
54162665395,11
02227364371,11
91319440303,11
20363236231,11
08794255873,11
32522399220,11
00569525811,11
97760014353,11
27829039975,11
76089328071,11
40121277359,11
09408915472,11
01786379427,11
27110812652,11
17567983736,11
89702296816,11
23390712243,11
55951378321,11
76195975501,11
29269291003,11
72474370587,11
58054971876,11
97810503433,11
39576127882,11
77026030157,11
77323230839,11
57483481312,11
72120141332,11
02771193803,11
22227339505,11
12772923011,11
97719381682,11
98585202010,11
73891321504,11
58413986739,11
51834665583,11
61309990769,11
99701786461,11
80430772195,11
14196607040,11
15301002464,11
60299764899,11
22431531990,11
32757681653,11
26585778024,11
34407316579,11
26126971239,11
15788238198,11
