input_str,answer
221,3
634,3
134,3
393,3
092,3
178,3
381,3
556,3
951,3
713,3
131,3
061,3
718,3
020,3
796,3
037,3
338,3
229,3
029,3
333,3
295,3
723,3
427,3
207,3
266,3
492,3
200,3
324,3
971,3
252,3
264,3
389,3
083,3
210,3
655,3
241,3
737,3
498,3
774,3
148,3
571,3
953,3
783,3
915,3
565,3
931,3
664,3
629,3
255,3
404,3
561,3
751,3
349,3
459,3
875,3
110,3
653,3
812,3
024,3
731,3
392,3
534,3
940,3
891,3
533,3
942,3
636,3
388,3
738,3
765,3
077,3
958,3
422,3
601,3
137,3
504,3
961,3
274,3
967,3
829,3
453,3
925,3
911,3
487,3
067,3
677,3
097,3
145,3
823,3
933,3
247,3
015,3
194,3
670,3
302,3
537,3
346,3
550,3
520,3
263,3
8916,4
9351,4
6509,4
8822,4
1349,4
3884,4
0609,4
1156,4
8564,4
6323,4
0480,4
3103,4
9945,4
5301,4
3328,4
7261,4
7266,4
5775,4
6203,4
3841,4
8314,4
4634,4
2141,4
9377,4
6494,4
7789,4
6884,4
8178,4
5658,4
7747,4
6751,4
1484,4
7968,4
9533,4
1731,4
7235,4
3587,4
5048,4
9815,4
8704,4
7693,4
4240,4
0880,4
0454,4
3226,4
6369,4
6539,4
5558,4
5673,4
0452,4
0107,4
8208,4
0372,4
1043,4
3675,4
8188,4
2653,4
2905,4
1597,4
5024,4
0184,4
3005,4
4331,4
7461,4
3417,4
0248,4
9070,4
0337,4
6693,4
0177,4
7651,4
1096,4
5520,4
4834,4
3507,4
4161,4
9059,4
1774,4
0288,4
9540,4
8078,4
6129,4
8696,4
2125,4
7871,4
7334,4
5888,4
0647,4
9907,4
8542,4
2605,4
2690,4
2140,4
9240,4
3695,4
2978,4
4079,4
5440,4
5259,4
7190,4
37973,5
96956,5
29503,5
56696,5
91277,5
99292,5
80661,5
92499,5
67944,5
60095,5
39230,5
42499,5
82804,5
92020,5
25846,5
72632,5
79021,5
65987,5
61974,5
47818,5
40823,5
53050,5
45818,5
64341,5
27090,5
40724,5
51607,5
70253,5
36021,5
37733,5
34134,5
82286,5
53215,5
50550,5
65188,5
21182,5
90381,5
17890,5
91651,5
16085,5
95547,5
12540,5
58370,5
10580,5
78409,5
69553,5
90565,5
61385,5
90374,5
95049,5
04042,5
58159,5
70243,5
32549,5
59034,5
67045,5
25774,5
87253,5
88479,5
78985,5
91510,5
43659,5
94537,5
62382,5
32547,5
15751,5
04240,5
31087,5
64983,5
70156,5
37808,5
79292,5
21222,5
21316,5
93572,5
33693,5
48220,5
19774,5
91285,5
58179,5
50478,5
86922,5
16991,5
82854,5
59464,5
34068,5
63112,5
81615,5
54988,5
74447,5
00150,5
37743,5
47175,5
48880,5
83285,5
92851,5
57340,5
78583,5
08783,5
85025,5
986662,6
447588,6
731219,6
428637,6
255905,6
454946,6
986127,6
038913,6
651083,6
488836,6
018687,6
742719,6
210932,6
348551,6
845131,6
625815,6
433025,6
011295,6
838383,6
117647,6
018758,6
990836,6
722823,6
834826,6
959665,6
481188,6
994013,6
568067,6
333493,6
400271,6
915164,6
421486,6
803006,6
866236,6
613766,6
719935,6
151548,6
878576,6
378006,6
754580,6
154474,6
394947,6
588589,6
960365,6
867350,6
772292,6
848918,6
207410,6
454639,6
493128,6
778428,6
496802,6
768914,6
464688,6
153761,6
960903,6
775209,6
225709,6
045581,6
904748,6
994566,6
314121,6
988217,6
782119,6
740338,6
025795,6
403604,6
477517,6
745998,6
435272,6
031628,6
858894,6
860560,6
715826,6
950782,6
684492,6
406391,6
847705,6
990416,6
418177,6
815367,6
215075,6
787869,6
009862,6
111352,6
727709,6
376627,6
321476,6
629295,6
209985,6
895386,6
358027,6
439331,6
256909,6
215688,6
028137,6
827147,6
709783,6
561534,6
600425,6
9590605,7
9046339,7
6023843,7
2536115,7
0022893,7
7275708,7
0017336,7
0651153,7
7547862,7
5432259,7
1869349,7
0174658,7
9180729,7
2306088,7
5934197,7
1923086,7
8361540,7
7001539,7
8029515,7
8030481,7
2098587,7
3538529,7
6368212,7
0966019,7
8032484,7
1243982,7
0948193,7
2106106,7
1581139,7
4561916,7
2924158,7
7640391,7
7409187,7
5177387,7
4999755,7
6902103,7
9696881,7
2404127,7
2672763,7
7100079,7
6659376,7
7636056,7
0071690,7
4750175,7
9691092,7
4611194,7
4424303,7
2486860,7
2236531,7
6701881,7
2104293,7
9280724,7
6210893,7
0378213,7
7075194,7
6992038,7
0857297,7
4304477,7
3449961,7
6612740,7
7073829,7
3351104,7
4699974,7
6631769,7
6145683,7
2898684,7
1300251,7
0000717,7
4776662,7
8832101,7
2314399,7
3684468,7
6636117,7
6087741,7
9642021,7
4016858,7
8937772,7
2482093,7
7896413,7
8203228,7
6350668,7
7681700,7
4346983,7
9820995,7
2509040,7
4861709,7
6491277,7
3195897,7
9142064,7
1298458,7
6445287,7
3083859,7
6493276,7
8848071,7
5102508,7
6837200,7
9366918,7
9861208,7
9407990,7
7782265,7
64263586,8
28886811,8
11666402,8
35677294,8
31634676,8
36052458,8
05474935,8
70394069,8
78547479,8
94698100,8
20578148,8
75631614,8
00731861,8
44631860,8
87211351,8
34115052,8
60266573,8
63384559,8
26441649,8
27571948,8
64210931,8
07915106,8
67022450,8
62710742,8
81672445,8
39912599,8
61170848,8
96765885,8
47117624,8
14508601,8
67160020,8
18979933,8
14383349,8
12741549,8
44156343,8
21538229,8
45993283,8
34788761,8
12932200,8
43360241,8
66544135,8
75223995,8
14678837,8
55122501,8
61958107,8
