input_str,answer
813885,8
638233,3
908406,0
113733,3
057775,7
604536,6
635404,4
244225,2
040890,0
804274,4
471434,4
378584,8
934434,4
794133,3
995794,9
877732,7
884482,8
535035,5
449964,4
021422,2
128822,2
921186,1
275055,5
337961,3
039009,0
914589,9
584214,4
310228,2
047305,0
680928,8
126626,6
041700,0
111937,1
421114,1
373322,3
322279,2
685435,5
565594,5
964798,9
863265,6
644467,4
011864,1
203331,3
547955,5
999007,9
912191,1
364665,6
427262,2
887204,8
055900,0
381494,4
049299,9
016006,0
544901,4
805301,0
927157,7
151691,1
266817,6
337359,3
549020,0
949694,9
220290,2
865525,5
859885,8
886813,8
820430,0
100625,0
442122,2
087002,0
493226,2
197475,7
043419,4
651008,0
628228,2
277740,7
242333,3
983998,9
646046,6
932196,9
342110,1
362663,6
748044,4
386453,3
220323,2
187134,1
114718,1
007491,0
330009,0
848615,8
086661,6
554115,5
122327,2
709732,7
754778,7
549561,5
354553,5
555646,5
651646,6
353178,3
932262,2
8483987,8
5752150,5
0467861,6
9664494,4
3123411,1
8361350,3
7337748,7
9320323,3
9809901,9
7335194,3
0560559,5
6690413,6
8070170,0
4635797,7
6209262,2
3235377,3
9175692,9
2896300,0
6560064,6
6364698,6
8554925,5
4249415,4
4166110,1
3582383,3
0929903,9
6189094,9
7449437,4
2291027,2
4862522,2
8803843,8
4459049,4
9520516,5
5580564,5
6948050,0
2557635,5
0050735,0
6914440,4
2348135,3
1117346,1
3265777,7
5921013,1
1814999,9
6776479,7
8499731,9
6198356,6
0848836,8
1633222,2
2092280,2
5116473,1
0479100,0
2623052,2
3676564,6
2410493,4
9178038,8
0313374,3
5747735,7
6631996,6
0325533,3
7058960,0
2632926,2
9219115,1
1704778,7
3464346,4
0097031,0
1006068,0
0702042,0
9320557,5
2586443,4
2072932,2
7770288,7
2162612,2
3386368,3
6671895,6
2736430,3
6766744,6
1583868,8
6377227,7
6173987,7
8273363,3
5285292,2
7904060,0
3381811,1
0006363,0
6984807,8
2418414,4
6038889,8
2533922,2
5726168,6
4960514,4
6059636,6
6117221,1
7327750,7
3991181,1
1136168,1
1571891,1
3033086,3
0324995,9
7557325,5
0321422,2
9196029,9
64812223,2
13365505,5
65145518,5
55668916,6
36973899,9
79876898,8
95268384,8
22321608,2
21255729,2
38134352,3
70270788,7
52959085,5
75877403,7
42153180,1
38895825,8
05030979,0
57647720,7
71386246,6
91283099,9
31737872,7
18638248,8
44377673,7
08366716,6
18113409,1
66650110,6
15439155,5
11360555,5
11549129,1
84410143,4
90335631,3
16601659,6
60502223,2
78557729,7
91213310,1
79147222,2
89759379,9
89985658,8
95605965,5
87396996,9
33108118,1
33189288,8
63003480,0
11494191,1
27215946,2
37400774,7
15145562,5
30015556,5
19119302,1
28467868,8
32434481,4
02108838,8
95181189,1
52212651,2
31333100,3
72373233,3
83009055,0
94424898,4
85888252,8
17741341,1
84942140,4
50098079,0
23032033,3
53379134,3
89549755,5
66559036,6
80802622,2
37767251,7
13303466,3
53839935,3
80363873,3
79555249,5
52062263,2
20535568,5
93898180,8
90322621,2
31015913,1
82801780,8
17476374,7
61841484,4
23644427,4
39474634,4
26171210,1
13125355,5
88414816,8
65152487,5
09653114,1
76596034,6
42652425,2
26759229,2
04780940,0
87501080,0
25922039,2
36611301,1
60968222,2
78517987,7
76663432,6
72137237,7
53239734,3
71971921,1
11917879,1
486469526,6
474617184,4
478020228,2
078480684,8
382644262,2
933590255,5
910641139,1
288303435,3
873731934,3
897918115,1
188771115,1
719173705,7
746460067,6
234937441,4
494781886,8
814165941,1
269955422,2
375570770,7
027710847,7
527661261,6
047566967,6
693739569,9
060773866,6
000161650,0
522536428,2
722114242,2
168694442,4
515651615,5
951093985,9
183813110,1
926560229,2
868581649,8
025758693,5
245452558,5
642546362,6
816788670,8
765559795,5
447009274,4
850513854,5
220858877,8
146664058,6
792042012,2
220949270,2
641855524,5
466113178,1
572672526,2
547141711,1
774607960,7
932708100,0
406440331,4
505250995,5
465708554,5
588684640,8
104343115,1
345342630,3
077917464,7
739121773,7
446756267,6
363925635,3
143930341,3
546741745,4
114772047,7
567597905,5
234115505,5
620686109,6
767955366,6
834817398,8
900988388,8
002275272,2
997987102,9
909044449,4
992954259,9
197051416,1
861551465,5
061163456,6
544195144,4
955656748,5
939188830,8
165790595,5
339361818,3
767947063,7
065033590,0
787848487,8
137131317,1
328898973,8
476071616,6
742464980,4
