input_str,answer
012040,0
215226,2
506762,6
178113,1
712877,7
286886,8
596666,6
834149,4
855139,5
585395,5
336323,3
388889,8
971969,9
510550,5
020650,0
211915,1
530055,5
133343,3
641373,3
772473,7
143141,1
997504,9
707760,7
156116,1
197945,9
889238,8
131704,1
028599,9
982810,8
793533,3
845861,8
638166,6
775908,7
244294,4
087598,8
535339,3
133351,3
828666,6
445422,4
116745,1
333008,3
684337,3
164844,4
353313,3
145655,5
065566,6
380351,3
914464,4
477763,7
517674,7
290444,4
506500,0
600209,0
050907,0
947030,0
989828,8
674844,4
205780,0
828396,8
757269,7
171615,1
642788,8
229467,2
596452,5
385393,3
690554,5
237570,7
060906,0
839969,9
338341,3
580751,5
289888,8
007110,0
022272,2
176660,6
554135,5
812351,1
963597,9
149011,1
857767,7
434455,4
504601,0
244482,4
261505,5
442140,4
191195,1
766038,6
991347,9
172111,1
801135,1
333379,3
435344,4
373533,3
524003,0
549853,5
802272,2
430547,4
839775,7
192991,9
661119,1
2793659,9
6393934,3
5591157,5
9601987,9
1656046,6
7847888,8
2218283,2
1911952,1
0617771,7
4180088,8
7397399,9
7977308,7
1851181,1
8884128,8
1265481,1
9069799,9
7254659,5
6346663,6
3790062,0
4406144,4
5993692,9
8088480,8
6666035,6
7060099,0
6181381,1
5027589,5
9487999,9
7078000,0
2826228,2
8782777,7
6424424,4
0022160,0
2422162,2
1003111,1
4882887,8
1903266,6
8851349,8
4449070,4
0571431,1
1244226,2
6926164,6
3501129,1
6582977,7
4921651,1
7699889,9
0008089,0
4646266,6
9004009,0
1562755,5
2223938,2
0104002,0
4487847,4
3635972,3
8118144,1
1630664,6
4844425,4
7545727,7
0664020,0
1213801,1
1056245,5
9931024,9
6611630,6
3833910,3
9666656,6
1161631,1
8584845,8
2598522,2
3471767,7
5921069,9
3997953,9
3052554,5
8539995,9
9183313,3
2641366,6
1113144,1
7662747,7
8644494,4
2460675,6
7779872,7
3699281,9
4212333,3
5409993,9
5824244,4
2429392,2
8816911,1
1929249,9
5626466,6
8547677,7
2934434,4
9992129,9
7777383,7
5777424,7
6266466,6
7209929,9
1399373,3
2752272,2
2040009,0
0087889,8
5322352,2
6226232,2
00730320,0
90770900,0
97976945,9
55392735,5
88551015,5
44666264,6
77209770,7
08079870,0
58884295,8
77774530,7
14991977,9
97477397,7
53645553,5
55566455,5
45959355,5
77972698,7
88342843,8
18081868,8
86222240,2
98858888,8
36307400,0
13275323,3
77721677,7
98998009,9
67661166,6
26462467,6
72275272,2
80119107,1
61007670,0
66960866,6
86278258,8
59809895,9
06926063,6
88698448,8
37523333,3
71027337,7
11376131,1
11847121,1
78677771,7
44899747,4
13036993,3
18216282,2
70111610,1
44342647,4
65616863,6
56998992,9
76373779,7
89872225,2
30370070,0
37159323,3
66181181,1
40485845,4
30629917,9
45567466,6
79377181,7
25631495,5
99902520,9
22737074,7
82641695,6
44355444,4
37436338,3
10241112,1
36515529,5
30221828,2
40470709,0
82760043,0
68623088,8
07941939,9
21832625,2
68990698,9
35343331,3
07332433,3
36667665,6
01479117,1
68635313,3
29293426,2
00542910,0
05546559,5
88884794,8
24335333,3
30365342,3
32333130,3
33035533,3
81611280,1
13734380,3
80260805,0
08050335,0
51981159,1
48932433,3
03090094,0
49048005,0
14171811,1
27808833,8
66448344,4
15467219,1
97555863,5
46835344,4
88880050,8
08683825,8
77587645,7
626833522,2
082020081,0
181411393,1
141312375,1
202737862,2
666623662,6
211148481,1
951041771,1
815461132,1
147774417,7
676476717,7
244816441,4
275674872,7
838863888,8
793736607,7
333882662,3
942273792,2
500854073,0
766610906,6
225222285,2
080832302,0
694766876,6
010184400,0
775987555,5
659042244,4
458100208,0
601606566,6
253380523,3
070470075,0
211911113,1
302417020,0
617072760,7
691967717,7
305772758,7
717248278,7
411146666,6
989766394,9
160000300,0
019108904,0
004016000,0
999772729,9
531031818,1
070750030,0
549999249,9
306333800,3
087737069,7
510088886,8
533953953,3
979916179,9
669676666,6
399993938,9
394489989,9
853247464,4
380898859,8
880838986,8
888159594,8
636969200,6
439277275,7
379028155,5
361361661,6
008034010,0
988869865,8
545421164,4
415555442,5
766651460,6
224724284,2
747734277,7
656765121,6
227425874,2
573337166,3
060373999,9
231118932,1
592949108,9
536665771,6
863753797,7
338968383,3
844474715,4
950000005,0
536052528,5
761114194,1
039981289,9
838808683,8
307100355,0
554489058,5
925825226,2
316714231,1
234090960,0
161101711,1
190044464,4
838812058,8
663331883,3
555105054,5
536356633,3
884889089,8
331413163,3
431853255,5
793197699,9
953995569,9
069643444,4
595647395,5
1536110661,1
3844361399,3
3208364333,3
0477777601,7
0669306566,6
5566444640,4
9095995911,9
7353793332,3
0790049399,9
6634547676,6
3381251211,1
2076098777,7
8836730134,3
0783999949,9
1939253333,3
5550040544,5
3395959963,9
7336363761,3
2641621322,2
0111182008,1
0910278910,0
9536179619,9
8677595695,5
0938387288,8
4693118591,1
4704176017,7
5505015529,5
0580278872,8
2612312443,2
0322384492,2
4939999569,9
5423524424,4
8900836788,8
6077473878,7
9204292912,2
5582525705,5
8075363010,0
2528922846,2
2092801200,0
3329181712,1
1211210048,1
6612996662,6
3323908420,3
5820888808,8
5820688288,8
7662033221,2
7917277349,7
9359512845,5
5758736664,6
2922823998,2
5836699266,6
1335319098,3
7220599242,2
1437119185,1
2233227677,2
0501676864,6
0006179022,0
2255475507,5
3395042253,3
8182229554,2
2946742218,2
2353553332,3
5958832812,8
4162868699,6
6263335666,6
5165551366,5
1710451134,1
1413343808,3
5307330307,3
0004005040,0
