input_str,answer
844887,8
741747,7
391444,4
047188,8
662931,6
910815,1
531110,1
731929,9
833039,3
814519,1
533337,3
773736,7
611731,1
973121,1
982768,8
745243,4
147448,4
077788,7
218883,8
670966,6
988979,9
283633,3
712611,1
957707,7
200422,2
787293,7
974127,7
916888,8
799292,9
048440,4
008312,0
116891,1
751551,5
043379,3
661171,1
501339,3
257187,7
765364,6
653660,6
513655,5
471780,7
043942,4
754447,4
447954,4
477770,7
899922,9
299971,9
485449,4
873804,8
690222,2
271333,3
333368,3
562441,4
064000,0
640666,6
045652,5
579525,5
030233,3
215186,1
152601,1
463446,4
997915,9
373450,3
961394,9
983333,3
643755,5
824586,8
045440,4
839551,5
654851,5
614244,4
922058,2
568884,8
153781,1
896066,6
667888,8
313183,3
946793,9
943321,3
515215,5
864693,6
611871,1
448760,4
193617,1
867778,7
479770,7
866106,6
011210,1
096216,6
290334,3
112160,1
511311,1
886488,8
214411,1
511213,1
335133,3
777800,7
755576,5
123892,2
773766,7
2892222,2
9335353,3
0202500,0
7925873,7
6556585,5
7976765,7
0963336,3
2301374,3
8170877,7
3132974,3
3008013,0
8848886,8
9960912,9
1999771,9
5558281,5
0666153,6
6068090,0
7980344,4
6333538,3
5107553,5
7100070,0
1920227,2
9820171,1
8636888,8
5759238,5
0975351,5
1437447,4
8338723,3
5419324,4
7974747,7
7191751,1
0220406,0
8444946,4
9098993,9
0952555,5
3693593,3
9749958,9
0495122,2
7666458,6
7157515,5
3812619,1
6422229,2
7282255,2
3667326,6
1222015,2
2313362,3
8311011,1
3729373,3
1166605,6
7488474,4
9559805,5
0107590,0
5550078,5
1110159,1
9839925,9
7787770,7
9775333,3
2433143,3
2090032,0
5484949,4
6686573,6
9196968,9
3463348,3
3005038,0
8322622,2
9457774,7
9732737,7
2122779,2
8002098,0
4642228,2
4018298,8
6018544,4
7477720,7
6116263,6
9160125,1
3012323,3
1758310,1
3338859,3
8385238,8
1339933,3
5525574,5
8818718,8
3676796,6
5556295,5
8188600,8
6083660,6
3338739,3
3379364,3
3371317,3
8856831,8
3393367,3
1011711,1
6608088,8
3086629,6
5751579,5
0136311,1
9478699,9
4742404,4
5591356,5
3505035,5
88818436,8
76646676,6
31098919,9
84990333,3
08700606,0
29238236,2
69592979,9
20480424,4
53382164,3
88660660,6
78080310,0
