input_str,answer
24904104,0
28755776,5
53905605,0
62949928,2
92645622,6
25224636,6
26618806,8
76082808,0
74152422,4
46584246,6
85055130,0
36164106,1
15918961,9
61651812,6
63653239,6
46086865,8
78644473,7
93555679,9
40557305,0
74631411,4
15138391,3
92597197,7
19989413,1
01511898,8
95097749,7
17495995,5
96051100,1
13763114,3
01789010,1
20408885,0
02430335,0
29203423,3
13121285,2
38846661,8
47361464,6
29885545,8
32519323,2
12676196,1
18053151,5
68545415,4
10056676,0
32151154,5
08892258,2
12520299,9
01807073,7
01712919,9
83444508,8
78012122,1
56597399,5
69101510,0
31202280,0
08030474,4
27939291,2
51388785,5
31146671,6
02552742,5
56663581,5
72472176,2
54101919,9
51440466,6
85638181,1
63003407,3
76676923,7
49719454,9
96424022,4
05008438,8
07262779,2
38852551,8
93459893,3
33832708,8
07009355,5
28426412,4
97897529,7
63953346,6
41312145,4
20619006,6
79369747,9
33617013,1
97466369,9
89580869,9
86169114,6
03682322,3
80761616,1
95511821,5
89898214,9
58256223,5
07882871,7
81988424,4
02655156,6
83633169,6
59649962,6
09839690,0
87557543,7
82060406,6
73951577,5
51537547,7
62997917,7
66144834,6
41888019,1
89491924,4
005103693,3
333156040,0
696381114,6
910508507,5
966756002,0
933975364,9
088530278,0
771653147,1
488002590,8
234665604,4
628587128,2
475457474,7
050260377,7
938351635,5
983747233,7
333007070,3
512831363,1
575362778,5
512599963,5
555120138,1
066765471,7
075775750,5
189066706,0
093934769,3
219011362,2
133075006,3
617513391,3
856208155,8
736038835,8
866602944,4
139410916,9
837316013,1
536778796,6
550131765,1
734867313,7
557519224,2
424295270,4
595285026,2
422299492,9
165468768,8
933750913,9
733372372,7
633413524,4
728278788,7
802544922,4
154234949,9
974194648,9
889706684,6
667752361,7
022521704,0
739537726,3
798358258,5
146566310,1
983432341,4
799976666,9
030300883,3
616020865,0
746399965,6
514855820,8
859592745,9
330075094,3
696700216,0
666772276,7
826475565,6
474307425,7
586235758,8
495690697,6
701914481,4
912067991,1
744092030,4
014877868,7
440250190,4
699842659,6
133582141,3
326893660,3
435705449,5
845142489,8
701552625,2
909786497,7
763645494,6
797800023,7
731828083,3
430944813,3
050319730,3
269311601,6
934543073,4
199962648,6
506018604,6
616432026,2
803283861,3
212774879,2
598892841,9
111661999,9
443594052,5
259000117,1
461387113,3
016001611,0
126662122,6
252242454,4
126191724,2
2755053786,7
7223000270,2
0026260223,0
3103493557,5
8548846866,6
8538343358,8
8707338883,3
5110515170,5
3431442431,3
2714715316,7
9403121164,4
3444083040,0
1583635570,3
7796554025,7
9449840573,9
2467506096,0
3153536315,5
3156712100,0
2255244432,4
2062291768,6
6168454947,6
8089437684,4
0557570177,5
0083390217,3
9548991057,5
1108909911,9
1185898191,8
4207897995,7
6415417102,4
8252755228,5
8227244724,4
5673277919,9
6122471190,2
3633262229,3
1284766697,7
8679721858,7
1439933527,9
3378355357,5
3559225335,3
9111559550,1
8990195638,8
3422824344,2
8107750604,7
8732166416,1
4202610827,0
8485447487,8
3541810363,1
8622200208,0
2924446466,6
8921103413,3
2449011713,4
5669544545,4
4068086080,8
9637676637,7
0175571117,7
4076770239,0
9625296266,2
7855185758,8
2676833309,6
6333692662,3
2014447353,3
3711186580,8
2723279377,2
7000966067,6
3783171377,3
7431620662,2
2600066077,6
3401113444,1
3330646066,3
9457251622,5
0377505577,5
4834332222,3
1177917878,1
6217727226,7
1770394873,3
8476848846,4
3200070377,7
5839399559,5
4406600106,6
5770750457,5
8005228828,2
2140574043,0
0775171107,1
2272547108,7
2217777828,2
6708903640,6
4646247059,6
3638398868,3
4736332498,4
0053151550,0
1888336795,3
5667417603,7
2060253490,2
7433222372,3
9899698867,8
6245872505,2
5599553193,9
1080844088,0
5489837817,7
3177771213,1
45489899942,4
04754740467,7
10689868118,1
24886362882,2
97954747970,9
68808027708,0
63363321612,6
95436699639,6
04428414010,0
81166516689,1
10361311563,3
18781613868,1
71346965706,7
85852882942,2
86999610166,9
75976977986,9
19534896793,3
25400770555,0
62678577755,5
93398931980,3
52332350273,2
98779859869,8
92545522656,2
78307033302,0
25688266272,6
51305212252,5
98582982522,8
14617221242,1
22700520424,0
54753877585,7
71999116769,1
40410040188,4
01810771721,7
85518353305,3
95005850780,5
18738268415,1
33945933049,9
30033994936,9
49929556259,5
83285385336,8
26276777329,2
33304673707,7
25472155224,5
31475864882,4
88149089267,9
93777931732,3
71509938965,5
06668440486,4
39139163395,9
15806147331,3
29428242458,4
33000980853,3
49900694943,4
90105718620,1
94664360946,4
84448629371,8
38839899850,9
09579005155,0
97979936646,6
71227702204,7
50226325253,5
87668673747,6
51018550950,0
13137837121,3
64688491646,4
95579859098,5
78077006697,0
68853155856,8
79379333487,7
98978175977,9
96496848699,6
16894166114,6
44377101711,7
58566528562,6
48086840984,4
53366375963,6
59697579569,5
11002304759,1
34767171113,7
95938232393,9
09290262205,0
88124110001,0
08830300866,8
51553513916,1
03434374032,4
00207202696,2
60535685636,5
60155806600,6
13201822333,2
77545275584,7
65432224189,4
54543589588,8
23323100226,3
91916561913,9
56553285838,8
04501588008,8
36533606651,3
65666581598,5
32382736377,7
34993684344,3
081298105118,8
459420498429,9
113732991771,7
118810818100,8
446439450500,0
757422174229,7
074016870807,7
787166277206,6
775544537511,7
330977999571,7
368233213821,2
770331395993,9
724184272284,4
065950096610,6
731440477422,7
108501311680,0
517655816141,5
169448640114,1
055575037237,7
552005014029,5
811999098154,1
941211486481,4
562776236326,2
814849832383,3
012804403344,0
010920499430,9
672329328373,2
197874697878,8
815660080011,1
572999115779,7
884596446463,6
552592779549,9
379932778703,3
403210330450,3
048898684640,4
778744108047,4
511999016953,1
286322732656,6
014099299201,0
445779971711,1
210270367002,2
325511351645,1
459815999811,1
809888130103,0
406991697000,9
563391691611,6
262140182012,1
149910199042,1
511753195701,5
033302203655,0
605631568865,5
432342474002,2
744805384788,4
904979757409,7
004066097486,6
608469768786,8
186836654111,6
770899707986,9
646614369112,1
414679606064,4
142748828212,8
013117063661,6
515327335732,5
319329302422,3
107511107604,0
468948775474,7
118103139998,9
072609940996,0
057015315805,0
773375676239,3
360073311773,7
300063880266,6
506275411831,5
994291251151,9
121255110305,5
363168916635,3
059545222509,2
118144643771,4
839955453853,3
033731314415,1
756858000688,0
993595256964,5
068308703086,8
496262160644,4
838308989637,3
358586708550,8
620013403789,3
281451820228,8
444525294923,2
156939911061,9
039928829883,9
427334362228,3
952675966525,6
517281000021,1
987174887689,7
209981901195,1
181411484484,1
186568385852,5
679184664447,6
616011196948,6
0991290962882,2
8532542522131,5
4780318385343,8
5295554124979,9
7183188115509,8
9821572243760,7
3866478086108,6
3033011430964,0
0901998893750,0
8313599259394,3
1677177920361,1
0836051041808,8
5805196899978,8
3228187387313,8
2452073400474,0
9887587059854,5
5997901700239,0
9361586936116,1
8430970980780,8
2204245287770,7
5554952242254,2
2300123038385,0
3814485550000,5
5015420400171,1
1810887080010,8
8717819586318,1
3833489927438,8
6895318981138,1
2939449775922,2
0611609126936,1
5330855370958,3
1307359305153,5
5702500220550,5
3440877081448,8
3427541555742,4
6766196003114,1
5548786155386,8
3936536623440,6
1921661287681,6
6876620806122,2
3897877591687,8
8824508694442,8
0201776696867,7
6441869699879,6
5313235274357,5
9545566689862,5
3533846408886,3
8506105821181,8
5982576125256,2
4552433208434,3
0353221223156,3
9969848689274,8
8281182683137,1
6444685223665,4
6626789926520,2
7377643986973,3
5592352419151,1
4485545114515,4
2177985147181,7
3826394883982,3
0731673034779,3
7628711388677,8
5949980650655,9
6003462344416,6
6913474469668,4
2886727173188,7
5886572586500,8
3342749943024,3
1212887218282,8
7088964428474,8
3140983699383,9
8800744277828,7
6582515918615,1
9194183292232,9
0338903232248,2
2743389534447,3
5869227282584,8
3007764469066,0
7292703214742,7
8632993911179,1
9499127636692,6
2282935284809,8
1100771242512,2
4103995509593,5
3599699361888,8
6347964266933,3
0889488954700,0
9480084586580,0
2586533456560,6
9871725971555,7
4415404818516,1
1474535017557,7
2788348999578,9
9379369409037,3
6636775336637,3
6553058001308,5
6781123256662,2
3553776675215,7
1818785353805,5
5929240254909,2
98828992279878,9
46278041082488,4
26363061530735,6
31351384647843,4
47744053371245,7
52044505187520,0
38483317400314,4
38144747048068,8
36526836158133,6
42545660561752,6
32773555743773,3
72093281432933,2
90415053524025,0
46514020244625,2
74475378067411,4
35364155675716,6
39489843929320,3
02033395573470,0
