input_str,answer
57000520,5
12003042,2
33929991,3
14342014,1
22240022,0
22922848,8
03058804,8
77599787,9
93909099,0
77588677,8
88324777,8
95454174,5
10106010,1
29228902,9
27527623,7
63855598,8
11871820,8
83869348,3
57719181,7
99964214,4
41215418,4
42294602,4
62667637,7
53477774,4
88168118,1
85544304,5
22447242,4
89804585,5
00680261,6
07686477,6
33135404,4
52705523,2
40228032,0
99089968,8
61669220,2
70277727,2
55409505,0
51528220,5
96663386,3
34646470,6
75327367,3
24348344,3
45254545,4
87782796,8
40944493,9
35959942,5
78377158,8
17161169,6
53742424,2
78881777,8
75877171,1
44488474,8
59433353,5
18934199,1
55365774,7
33836938,8
15556541,1
66906696,9
97998977,7
60990210,9
44211414,1
18651115,5
20682205,0
45922426,4
92964666,9
44174665,6
49865959,5
24452224,4
07809900,9
13686678,8
93639989,3
57749775,5
61266246,2
68806466,8
64645947,6
06446464,6
97756267,6
98801881,1
53559496,9
16117666,1
44262232,4
57737378,3
60418006,6
66160969,9
56674461,4
76030079,7
82555240,2
26696693,9
45282325,5
09003464,4
42662563,2
34052004,4
48838389,3
44394333,4
30003900,3
85448820,4
96639686,9
95959384,5
11018628,8
01114103,0
063122832,3
337935300,0
792762202,7
366732336,6
400109847,4
655635635,6
948220282,8
503255885,8
686060460,0
163751711,7
838029680,0
116163611,6
506755390,0
440004009,4
001444458,0
005326616,0
949918019,1
008300030,3
488838145,4
441722522,4
189938989,8
154444416,1
009363413,0
995234893,3
000420528,2
429288386,2
151553572,1
558669666,5
121155814,5
224200739,0
844991972,4
076910068,6
050370043,3
804818206,0
165888753,5
331133338,1
662485469,4
878442448,8
302934113,1
451838998,9
884394448,8
041448314,1
000784335,3
232107811,2
718446111,4
035508050,5
444554407,5
699989346,6
967676863,7
799399709,7
910009800,9
434541443,3
500506950,5
530003048,3
504545545,4
997149180,1
118494144,1
986611667,1
658387777,8
853840600,8
777414724,4
333003532,0
212999893,2
315363133,1
074064445,0
205058915,0
782222712,7
000510431,1
767766286,7
999513637,3
599981035,5
403343493,4
575755535,7
905222962,9
337543284,4
163118161,6
330253553,5
885483508,5
322161918,2
660631366,3
131341560,3
144354034,3
684116611,6
995254980,5
839910444,9
766716727,6
336357555,3
330210065,3
315320033,0
428499463,9
147921146,4
034706662,0
631392313,1
932932232,3
996620895,6
122171111,2
234844442,2
370183530,0
687216106,1
230366666,3
0661634161,1
3533550951,3
3597165251,1
3100279070,7
5544351545,4
4064444664,6
3223433326,2
1118318581,8
3376436666,3
7477977774,4
7273515477,5
9699998229,2
6903295829,2
4440007754,0
4755544805,4
1011707102,0
0740066003,6
0707807048,7
4533953135,5
8881587091,1
9342010407,4
5537537358,3
2884749088,4
8988929989,8
1661422662,2
4448478430,8
2331631733,1
8448275088,4
7578777018,8
2559855946,9
6660606372,0
6447667766,7
4441461111,4
0697387857,8
1931335813,1
6420266536,2
7578177118,1
6476694364,4
9989979787,7
3013337331,1
4322001800,2
0111811144,4
4814444978,8
5435564554,4
8555470534,4
9268621222,6
7737637344,3
6667918866,8
1299217211,2
1942111313,3
2796991740,7
4260698256,2
9744348477,7
