input_str,answer
11431,11134
74974,44779
44444,44444
44414,14444
88345,34588
26505,02556
35598,35589
63375,33567
76217,12677
04615,01456
11951,11159
49887,47889
66128,12668
73371,13377
50405,00455
45317,13457
05356,03556
82446,24468
76386,36678
88180,01888
30586,03568
51443,13445
41708,01478
24212,12224
44061,01446
38233,23338
17720,01277
24192,12249
23536,23356
77090,00779
29922,22299
64194,14469
76868,66788
22380,02238
84056,04568
88887,78888
99040,00499
00055,00055
38733,33378
25122,12225
90166,01669
92288,22889
55355,35555
44292,22449
75972,25779
13808,01388
76976,66779
57585,55578
54576,45567
30352,02335
16789,16789
07782,02778
26096,02669
09603,00369
00228,00228
14684,14468
31932,12339
88483,34888
99192,12999
06885,05688
00156,00156
47320,02347
05281,01258
45631,13456
53592,23559
55443,34455
55056,05556
63422,22346
48442,24448
36533,33356
22566,22566
46103,01346
87257,25778
92999,29999
17919,11799
50189,01589
40006,00046
46144,14446
87182,12788
85197,15789
04893,03489
22222,22222
33557,33557
67667,66677
55451,14555
63323,23336
45144,14445
14261,11246
26689,26689
60340,00346
96626,26669
33049,03349
10101,00111
43155,13455
05600,00056
44000,00044
22367,22367
27552,22557
08007,00078
78158,15788
243222,222234
345095,034559
004090,000049
444660,044466
163585,135568
036800,000368
213253,122335
030009,000039
009685,005689
763605,035667
368359,335689
010146,001146
165556,155566
735741,134577
771757,157777
191009,001199
526568,255668
143931,113349
050663,003566
000411,000114
300500,000035
365858,355688
020403,000234
772370,023777
341884,134488
616616,116666
515746,145567
473253,233457
410968,014689
560011,001156
877583,357788
207010,000127
849462,244689
736990,036799
170112,011127
943451,134459
115777,115777
107160,001167
030117,001137
354204,023445
533599,335599
746141,114467
462834,234468
287318,123788
998291,128999
414124,112444
994598,458999
772443,234477
133867,133678
559555,555559
646996,466699
454661,144566
157124,112457
413749,134479
166793,136679
234888,234888
210881,011288
712494,124479
319111,111139
291111,111129
866666,666668
001881,001188
924922,222499
140352,012345
775656,556677
175284,124578
424355,234455
645252,224556
285142,122458
602666,026666
881888,188888
839822,223889
008084,000488
788778,777888
687885,567888
822272,222278
705794,045779
848302,023488
228102,012228
668302,023668
274409,024479
737738,337778
067999,067999
151999,115999
186383,133688
560020,000256
777770,077777
229727,222779
689979,678999
919295,125999
987223,223789
101524,011245
164607,014667
397838,337889
950070,000579
017477,014777
520470,002457
840258,024588
671518,115678
653024,023456
1182060,0011268
2119562,1122569
6229803,0223689
3766111,1113667
7975589,5577899
5575151,1155557
5855555,5555558
9124058,0124589
7537728,2357778
2589352,2235589
2359762,2235679
6438325,2334568
8707478,0477788
8756432,2345678
6868594,4566889
9072029,0022799
1311131,1111133
7368825,2356788
9198999,1899999
4243943,2334449
5388660,0356688
2663667,2366667
8910200,0001289
7461931,1134679
0822826,0222688
1155115,1111555
1221393,1122339
7793940,0347799
9904985,0458999
3979944,3447999
2683368,2336688
3456143,1334456
6394313,1333469
1784775,1457778
7030185,0013578
4144547,1444457
1229277,1222779
9424494,2444499
2257777,2257777
0919091,0011999
5782333,2333578
9507292,0225799
6265026,0225666
2026279,0222679
3685566,3556668
2408410,0012448
3825832,2233588
6558068,0556688
8763866,3666788
6151950,0115569
7935082,0235789
6554551,1455556
6222422,2222246
5595954,4555599
9259295,2255999
3879913,1337899
2909233,0223399
6993046,0346699
8907605,0056789
3000873,0003378
0081010,0000118
7178188,1177888
0070950,0000579
1222243,1222234
0998488,0488899
9552400,0024559
5572047,0245577
7141150,0111457
7137778,1377778
4564034,0344456
9877489,4778899
1131310,0111133
3700341,0013347
4358688,3456888
0838335,0333588
1959172,1125799
3397833,3333789
3503333,0333335
7536637,3356677
2622240,0222246
0655087,0055678
4344088,0344488
5895855,5555889
3350155,0133555
7540663,0345667
7426616,1246667
1271116,1111267
4447220,0224447
9681202,0122689
0244062,0022446
5190704,0014579
8262926,2226689
5571217,1125577
7462994,2446799
0105030,0000135
7441746,1444677
1066656,0156666
1585162,1125568
4740090,0004479
5772073,0235777
04445986,04445689
99007029,00027999
88585816,15568888
55555044,04455555
55257595,25555579
97728104,01247789
64216872,12246678
36294020,00223469
88810888,01888888
28562461,12245668
67575745,45556777
82484855,24455888
33300076,00033367
44273345,23344457
99943859,34589999
01884421,01124488
08865590,00556889
49917711,11147799
66663656,35666666
57999905,05579999
21507060,00012567
37335300,00333357
99750999,05799999
88103318,01133888
12127329,11222379
70288350,00235788
74220234,02223447
61851135,11135568
94216919,11246999
45131447,11344457
59934314,13344599
19010300,00001139
36001330,00013336
18795969,15678999
85478828,24578888
90990934,00349999
11119792,11112799
09000185,00001589
61971920,01126799
28414812,11224488
16088088,00168888
22724271,12222477
71471478,11447778
35414474,13444457
42407440,00244447
42535267,22345567
56666913,13566669
66767316,13666677
18381188,11138888
65734236,23345667
99945665,45566999
09348220,00223489
04082123,00122348
55985735,35555789
55854852,24555588
88403092,00234889
45881818,11458888
43884948,34448889
69986033,03366899
97192226,12226799
60136105,00113566
00900734,00003479
22422622,22222246
26162406,01224666
12296557,12255679
71311701,01111377
61561610,01115666
88545515,14555588
17051124,01112457
83229806,02236889
71919771,11177799
51456588,14555688
31471337,11333477
73304238,02333478
57749727,24577779
03333668,03333668
75666587,55666778
05716670,00156677
92272601,01222679
60514344,01344456
24171177,11124777
93288848,23488889
48787677,46777788
93372799,23377999
59522162,12225569
38877074,03477788
97631141,11134679
84890848,04488889
55505955,05555559
35934338,33334589
34264634,23344466
44484844,44444488
42883847,23447888
81651211,11112568
52995222,22225599
81897598,15788899
91112294,11122499
34342254,22334445
22123767,12223677
97217216,11226779
000153333,000133335
601841948,011446889
939192975,123579999
052342052,002223455
740880788,004778888
765338862,233566788
755456517,145555677
563836046,033456668
387942881,123478889
000459506,000045569
060600847,000046678
364303918,013334689
379476232,223346779
157817934,113457789
885888885,558888888
546887345,344556788
659169491,114566999
420332002,000222334
357535371,133355577
930944409,003444999
448025799,024457899
192442303,012233449
031523024,001223345
866033403,003334668
386554447,344455678
509071815,001155789
334369983,333346899
765371976,135667779
399943344,333444999
828022281,012222888
161161979,111166799
757575555,555555777
961072717,011267779
988615553,135556889
974444469,444446799
434445148,134444458
051230290,000122359
608907800,000067889
886886664,466668888
582005807,000255788
300089238,000233889
012812166,011122668
205252269,022225569
666618666,166666668
803223133,012233338
345885383,333455888
534806188,013456888
668536365,335566668
548419824,124445889
411689864,114466889
581380418,011345888
987275997,257778999
100822623,001222368
764255547,244555677
645463345,334445566
559561622,122555669
865964234,234456689
142633216,112233466
177929796,126777999
860566627,025666678
668963569,356666899
054581657,014555678
101101000,000001111
431151818,111134588
523244357,223344557
067666464,044666667
103317079,001133779
866265726,225666678
999979979,779999999
576331377,133356777
643767133,133346677
111661689,111166689
365355556,335555566
543437514,133444557
859224228,222245889
005509292,000225599
514744424,124444457
370537084,003345778
044649344,034444469
994645259,244556999
661166392,112366669
992299673,223679999
865594865,455566889
893345822,223345889
346493813,133344689
533291912,112233599
679166669,166666799
169114923,111234699
141411221,111112244
687867684,466677888
999789997,778999999
102989177,011277899
081906868,001668889
353341094,013334459
032832129,012223389
669715341,113456679
414500702,000124457
893313098,013338899
931268989,123688999
299922290,022229999
2690061498,0012466899
7251781659,1125567789
7842675675,2455667778
4709700020,0000024779
3142333696,1233334669
4967185789,1456778899
7377105200,0001235777
2489907123,0122347899
5966090676,0056666799
1114311111,1111111134
4332883293,2233334889
9634336369,3333466699
3161666336,1133366666
